Placement,Horse,Jockey,Trainer,Horse weight,Lane position,Win odds,Time in s,sec_pos1,sec_pos2,sec_pos3,sec_pos4,sec_pos5,sec_pos6
9,TELECOM FIGHTERS (D482),K De Melo,Y S Tsui,1126,3,65,71.9,6,8,9,0,0,0
10,NORDIC DRAGON (G467),C L Chau,C S Shum,1127,2,18,74.6,4,5,10,0,0,0
11,XPONENTIAL (D049),K Teetan,D J Whyte,1175,11,23,79.4,7,11,11,0,0,0
1,RATTAN WORLD (G384),Z Purton,J Richards,1090,10,6,72.5,9,8,1,0,0,0
2,SWEET DIAMOND (G063),A Badel,P F Yiu,1174,6,6,72.7,3,3,2,0,0,0
3,MILLENNIUM FALCON (D281),L Hewitson,T P Yung,1181,4,6,73.6,2,2,3,0,0,0
4,GREAT DAYS (H119),K Teetan,P C Ng,1091,8,12,75.3,5,5,4,0,0,0
5,FIGHTING STAR (E255),B Avdulla,C H Yip,1082,13,11,75.3,12,11,5,0,0,0
6,NORDIC COMBINED (G015),J McDonald,W Y So,1061,5,9,75.7,14,14,6,0,0,0
7,SPANGLE FORTUNE (G427),K C Leung,K L Man,1083,3,20,75.9,4,4,7,0,0,0
8,CASA LEGEND (G126),A Atzeni,C W Chang,1161,12,21,78.3,13,12,8,0,0,0
9,DAILY TROPHY (H283),E C W Wong,C Fownes,1164,2,7,78.5,7,7,9,0,0,0
10,CHOICERUS (H029),H Bowman,D J Whyte,1079,1,8,79.7,10,10,10,0,0,0
11,DASHING GLORY (G397),Y L Chung,Y S Tsui,1093,7,55,71.7,11,13,11,0,0,0
12,FINGERS CROSSED (G403),M Chadwick,M Newnham,1269,11,39,72.0,6,6,12,0,0,0
13,EIGHT TRIGRAMS (C102),H T Mo,Y S Tsui,1173,14,26,72.1,1,1,13,0,0,0
14,ALL IS READY (G042),L Ferraris,M Newnham,1241,9,18,78.9,8,9,14,0,0,0
1,GOLDEN RISE (H242),Z Purton,J Size,1011,2,2,89.8,6,7,3,1,0,0
2,RIVER VIEWS (G212),K Teetan,T P Yung,1155,5,10,83.2,1,1,1,2,0,0
3,FIGHT TIME (H409),M F Poon,D J Hall,1066,1,102,85.4,10,10,5,3,0,0
4,CALIFORNIATOTALITY (H418),Y L Chung,A S Cruz,1032,7,3,85.5,11,11,11,4,0,0
5,DEVAS TWELVE (H435),M Chadwick,W Y So,1098,6,13,86.0,8,8,10,5,0,0
6,NISHIKADO (H172),L Hewitson,Y S Tsui,1167,4,34,86.8,3,4,2,6,0,0
7,CIRCUIT MIGHTY (G078),H Bowman,K L Man,1026,14,10,86.9,4,3,4,7,0,0
8,FAST VICTORY (H393),K C Leung,D A Hayes,1081,8,135,88.1,12,12,6,8,0,0
9,CHARITY BINGO (H254),J McDonald,C S Shum,1058,10,15,90.9,13,14,13,9,0,0
10,GALVANIC (H147),C Y Ho,C Fownes,1079,9,13,92.4,9,9,9,10,0,0
11,AMAZINGTEAMWORK (H488),K De Melo,W K Mo,1270,12,189,86.0,14,13,12,11,0,0
12,SUNNY SHINES (H484),A Atzeni,P C Ng,1097,13,244,88.9,7,6,8,12,0,0
13,BULB PRINCE (G179),A Hamelin,C H Yip,1004,3,85,87.7,5,5,7,13,0,0
1,WUNDERBAR (H411),J McDonald,J Size,1194,2,2,77.3,2,2,1,0,0,0
2,KA YING RISING (J062),Z Purton,D A Hayes,1108,10,1,77.5,1,1,2,0,0,0
3,READY TO WIN (E422),A Badel,F C Lor,1125,4,49,73.5,6,4,3,0,0,0
4,ACE VICTORY (H076),M L Yeung,T P Yung,1237,1,89,73.7,5,3,4,0,0,0
5,PARTERRE (E234),L Hewitson,W Y So,1155,8,106,76.4,10,8,5,0,0,0
6,SOLAR PARTNER (E364),H Bentley,P F Yiu,1236,9,27,78.5,7,6,6,0,0,0
7,JUMBO FORTUNE (G195),K De Melo,P C Ng,1294,5,43,71.6,8,9,7,0,0,0
8,IMA SINGLE MAN (D476),Y L Chung,A S Cruz,1204,6,26,75.4,9,10,8,0,0,0
9,SOLAR UP (J134),M Chadwick,C W Chang,1142,3,100,78.2,4,5,9,0,0,0
10,KYEEMA (J055),L Ferraris,M Newnham,976,7,27,73.0,3,7,10,0,0,0
1,RUBYLOT (H412),H Bowman,D A Hayes,1116,5,7,66.0,13,9,1,0,0,0
2,MIDORI BEAUTY (G334),K De Melo,W Y So,1256,13,33,66.5,8,7,2,0,0,0
4,JAZZ CLUB (G285),M Chadwick,K L Man,1151,9,100,58.6,7,10,4,0,0,0
5,SKY TRUST (J161),C Y Ho,C Fownes,1146,8,35,61.8,9,11,5,0,0,0
6,FUN ELITE (J042),L Hewitson,T P Yung,1169,10,1,62.7,11,5,6,0,0,0
7,VALIANT ELEGANCE (D285),A Atzeni,D J Whyte,1131,11,57,63.3,6,6,7,0,0,0
8,SUPER COMMANDER (D350),E C W Wong,P C Ng,1077,3,10,63.5,2,2,8,0,0,0
9,HO HO STAR (H291),A Badel,C H Yip,1117,7,34,65.2,12,12,9,0,0,0
10,PANDA (H466),K Teetan,C H Yip,1068,14,8,65.6,5,8,10,0,0,0
11,HAYDAY (H321),M F Poon,P F Yiu,1123,6,38,66.5,3,3,11,0,0,0
12,GLORY B (H373),H Bentley,D J Whyte,1071,4,143,61.6,14,14,12,0,0,0
13,SUPER AXIOM (E105),Y L Chung,Y S Tsui,1270,2,48,65.5,1,1,13,0,0,0
14,SAME TO YOU (H057),K C Leung,M Newnham,982,1,195,68.1,10,13,14,0,0,0
1,SUPERB KID (H298),H Bowman,K W Lui,1029,8,6,85.5,8,9,10,1,0,0
2,SUNLIGHT POWER (H244),H Bentley,P F Yiu,1073,14,19,86.3,12,11,8,2,0,0
3,CIRCUIT NINE (G140),A Atzeni,W K Mo,1161,1,13,88.0,7,5,6,3,0,0
4,GOLDEN BULL (H019),J McDonald,C S Shum,1158,7,6,88.5,5,7,7,4,0,0
5,FUN N GLORY (G003),C Y Ho,W Y So,1191,9,44,89.8,1,1,1,5,0,0
6,COMPASSION SPIRIT (D167),Z Purton,K L Man,1119,6,4,90.0,4,4,4,6,0,0
7,LUCKY PLANET (H235),K Teetan,D J Whyte,1076,3,4,90.8,6,6,5,7,0,0
8,PRIME MORTAR (G328),M Chadwick,K H Ting,1066,13,45,91.4,13,10,11,8,0,0
9,TAKE ACTION (J098),B Avdulla,J Size,1163,4,7,91.8,9,8,9,9,0,0
10,FREE FOAL (E065),K C Leung,F C Lor,1137,2,13,84.0,3,3,3,10,0,0
11,SETANTA (G095),L Hewitson,D A Hayes,1219,12,23,84.9,11,14,14,11,0,0
12,MERCHANT PRINCE (H268),M L Yeung,J Richards,1167,11,178,85.9,14,13,12,12,0,0
13,FURY AND GOLD (H202),K De Melo,C H Yip,1126,5,197,88.2,10,12,13,13,0,0
14,SMART FOLKS (D343),A Hamelin,C W Chang,1151,10,69,90.3,2,2,2,14,0,0
1,MASSIVE TALENT (H282),M Chadwick,M Newnham,1132,3,11,73.6,5,4,1,0,0,0
2,GENEVA (J114),H Bowman,D J Hall,1223,4,1,75.2,6,6,2,0,0,0
3,SUPER GOLDI (H477),K C Leung,F C Lor,1012,9,6,75.3,11,10,3,0,0,0
4,STRATHPEFFER (H095),K Teetan,D J Whyte,1038,6,5,77.8,8,8,4,0,0,0
5,GANGNAM STAR (H326),H Bentley,P C Ng,1088,2,21,79.3,9,9,5,0,0,0
6,MANYTHANKS FOREVER (J065),A Atzeni,J Richards,1090,1,43,79.5,7,7,6,0,0,0
7,PO ON WAY (H201),A Hamelin,K H Ting,1121,10,20,71.4,13,13,7,0,0,0
8,TRIUMPHANT WARRIOR (H430),L Ferraris,C S Shum,1058,5,37,72.5,3,3,8,0,0,0
9,GO HERO (H315),L Hewitson,Y S Tsui,1042,12,106,72.9,4,5,9,0,0,0
10,EVER VICTORIOUS (H422),C Y Ho,P F Yiu,1021,11,77,76.8,12,11,10,0,0,0
11,PINGWU SPARKLE (J030),J McDonald,T P Yung,1176,14,35,77.7,2,2,11,0,0,0
12,VANTASTIC CHOICE (G401),A Badel,C H Yip,1085,13,12,72.3,1,1,12,0,0,0
13,LE MAILLOT JAUNE (J034),Y L Chung,W K Mo,1242,7,162,79.3,10,12,13,0,0,0
1,VOYAGE BUBBLE (E436),J McDonald,P F Yiu,1230,3,1,102.7,3,3,3,1,0,0
2,BEAUTY ETERNAL (H008),Z Purton,J Size,1206,8,3,95.6,2,2,1,2,0,0
3,BEAUTY JOY (E058),K C Leung,A S Cruz,1035,5,12,97.1,8,8,6,3,0,0
4,CALIFORNIA SPANGLE (E314),H Bowman,A S Cruz,1218,2,5,99.3,1,1,2,4,0,0
5,FANTASTIC TREASURE (E269),K Teetan,D A Hayes,1217,4,81,100.5,6,6,5,5,0,0
6,STRAIGHT ARRON (G435),C Y Ho,C Fownes,1127,1,11,100.9,4,5,4,6,0,0
7,RUSSIAN EMPEROR (E198),A Atzeni,D J Whyte,1160,6,70,101.6,7,7,7,7,0,0
8,HEALTHY HAPPY (D435),A Badel,F C Lor,1203,7,49,104.9,5,4,8,8,0,0
1,NATURAL STORM (C461),A Hamelin,P F Yiu,1126,3,55,127.4,9,8,9,6,1,0
2,ENSUED (H452),K Teetan,J Size,1062,4,2,128.0,3,4,3,3,2,0
5,BUTTERFIELD (C462),Z Purton,C S Shum,1177,1,12,130.0,6,5,6,7,5,0
6,BOURBONAIRE (E365),B Avdulla,J Size,1045,8,75,123.1,1,1,1,1,6,0
7,KA YING GENERATION (J075),A Atzeni,P C Ng,1157,11,31,123.5,11,12,12,12,7,0
8,THE BEST PEACH (H139),H Bowman,A S Cruz,1040,13,9,123.5,14,14,14,14,8,0
9,ELLIPTICAL (J052),C Y Ho,C Fownes,1035,9,15,125.2,12,11,11,13,9,0
10,HAMERON (H265),L Ferraris,K W Lui,1038,5,21,126.2,5,7,7,8,10,0
11,LOOKING GREAT (E053),M F Poon,F C Lor,1131,14,134,128.9,13,13,13,11,11,0
12,BEAUTY LIVE (G057),A Badel,F C Lor,1121,7,117,129.5,10,9,8,10,12,0
13,COLUMBUS COUNTY (C465),H Bentley,C Fownes,1092,12,66,132.3,4,2,2,4,13,0
14,ENIGMA (J077),Y L Chung,A S Cruz,1085,10,71,124.1,7,6,4,5,14,0
1,MUGEN (H338),K Teetan,P C Ng,1116,10,4,83.7,11,11,11,1,0,0
2,SUPERB BOY (G335),A Badel,K W Lui,1118,2,13,87.0,5,4,3,2,0,0
3,ATULLIBIGEAL (G173),Z Purton,D J Hall,1063,5,7,87.0,10,9,8,3,0,0
4,DANCING CODE (G365),C Y Ho,C Fownes,1039,1,3,88.0,8,6,6,4,0,0
5,RED LION (H115),H Bowman,J Size,1133,7,21,89.4,4,5,5,5,0,0
6,HOWDEEPISYOURLOVE (H093),J McDonald,J Size,1180,9,9,90.4,9,10,10,6,0,0
7,DROMBEG BANNER (H117),A Atzeni,P C Ng,1089,8,10,82.6,2,1,1,7,0,0
8,FLAMING RABBIT (H257),Y L Chung,D J Whyte,1121,6,22,84.7,1,2,2,8,0,0
9,EASON (G061),M F Poon,F C Lor,1169,4,112,85.9,6,8,7,9,0,0
10,BRAVEHEARTS (H389),A Hamelin,J Richards,1108,11,159,84.9,7,7,9,10,0,0
1,STORM RIDER (J027),Z Purton,D A Hayes,1122,11,2,82.7,2,2,2,1,0,0
2,THE HEIR (H459),H Bowman,C Fownes,1138,1,3,84.6,7,6,6,2,0,0
3,SILVER UP (J078),M Chadwick,W K Mo,1150,10,18,85.1,6,7,7,3,0,0
4,ENDEARED (H161),A Atzeni,J Size,1041,13,8,85.6,5,5,5,4,0,0
5,RUN RUN COOL (E322),L Ferraris,F C Lor,1216,5,130,86.2,9,9,12,5,0,0
6,ZOOM BOOM (G131),H Bentley,D J Whyte,1109,8,101,87.4,14,13,11,6,0,0
7,LOST CHILD (G461),B Avdulla,C W Chang,1191,7,11,87.9,11,10,10,7,0,0
8,MIDORI BURLY (J083),M F Poon,P F Yiu,1138,2,16,88.2,13,11,8,8,0,0
9,D STAR (G374),L Hewitson,A S Cruz,1069,12,54,89.6,10,8,9,9,0,0
10,ARMOUR WAR EAGLE (J039),M L Yeung,K H Ting,1123,3,15,91.7,4,3,3,10,0,0
11,GOLDEN EMPIRE (E490),C Y Ho,K W Lui,1089,14,41,84.4,8,14,13,11,0,0
12,BONUS PAL (H360),K De Melo,P C Ng,1091,4,239,85.3,12,12,14,12,0,0
13,RAGNARR (H297),Y L Chung,T P Yung,1076,6,110,85.6,3,4,4,13,0,0
14,HONG KONG HALL (G315),E C W Wong,D J Hall,1180,9,16,88.5,1,1,1,14,0,0
1,SUNNY BABY (E166),Z Purton,D A Hayes,1115,3,5,112.9,6,7,8,9,1,0
2,DIAMOND WINNER (H285),A Hamelin,J Size,1102,6,10,113.0,9,9,10,11,2,0
3,TURTLE AGAIN (H083),K C Leung,T P Yung,1203,1,2,113.1,3,3,3,2,3,0
4,COLOURFUL BARON (G301),L Hewitson,J Richards,1094,7,6,113.7,4,6,6,6,4,0
5,HAPPY HERO (G322),B Avdulla,M Newnham,1060,5,17,114.6,8,8,7,7,5,0
6,FOXHUNTER WAY (E296),C Y Ho,K W Lui,1055,4,8,114.7,7,5,5,5,6,0
7,UNITED ENDEAVORS (G030),M L Yeung,W Y So,1117,2,10,116.2,2,4,4,4,7,0
8,VIVA A LA (G282),M F Poon,K L Man,1103,10,34,116.8,1,1,1,1,8,0
9,FORTUNE TRIPLE (D274),M Chadwick,Y S Tsui,1045,11,24,117.7,11,11,11,8,9,0
10,CLASSIC ARCHI (G295),H Bentley,D J Whyte,1057,8,21,120.1,10,10,9,10,10,0
11,CIRCUIT ELITE (E487),K De Melo,W K Mo,1274,9,34,113.2,5,2,2,3,11,0
1,SUPER CONTENTED (H251),K De Melo,C Fownes,1103,5,2,112.5,1,1,1,1,1,0
2,MR ALADDIN (H386),K Teetan,P C Ng,1081,9,8,113.5,4,4,4,4,2,0
3,SERANGOON (H296),H Bentley,A S Cruz,1104,1,15,113.7,6,5,5,5,3,0
4,PALACE PAL (G172),M F Poon,D J Hall,985,4,10,114.2,7,8,8,7,4,0
5,FOREVER GLORIOUS (G229),C Y Ho,K W Lui,1113,8,6,114.9,2,2,2,2,5,0
6,STRONGEST BOY (H027),Z Purton,D A Hayes,1075,10,5,115.1,10,9,9,9,6,0
7,PRECISE EXPRESS (D198),Y L Chung,P F Yiu,1034,2,16,117.5,5,6,6,6,7,0
8,FLYING SILVER (E478),B Avdulla,C S Shum,1032,3,11,120.0,3,3,3,3,8,0
9,CASA COSMO (G436),L Hewitson,J Richards,1052,7,35,120.5,9,10,10,10,9,0
10,LOOKING COOL (G151),A Atzeni,F C Lor,1134,6,36,113.1,8,7,7,8,10,0
11,VINCY (B213),M L Yeung,C H Yip,1084,11,59,119.3,11,11,11,11,11,0
1,CRYSTAL POWERFUL (H068),A Atzeni,W K Mo,1128,6,6,78.4,5,4,1,0,0,0
2,FLYING PHANTOM (J086),B Avdulla,J Size,1042,9,13,79.9,9,8,2,0,0,0
3,SUPER ELITE (H247),M L Yeung,P F Yiu,1087,10,59,72.8,2,2,3,0,0,0
4,CHEONG FAT (H058),Z Purton,C W Chang,1155,4,5,72.8,10,10,4,0,0,0
5,MULTIDARLING (H148),H T Mo,T P Yung,1245,5,8,74.0,3,3,5,0,0,0
6,DAN ATTACK (H317),A Hamelin,J Richards,1165,11,41,74.0,11,11,6,0,0,0
7,TATTENHAM (H121),L Ferraris,P C Ng,1116,8,17,74.1,7,6,7,0,0,0
8,NORDIC COMBINED (G015),H Bentley,W Y So,1073,1,8,74.9,8,9,8,0,0,0
9,YOUTH POWER (H358),K H Chan,D A Hayes,1035,12,116,75.2,12,12,9,0,0,0
10,SHINKANSEN (H277),K Teetan,D J Whyte,1142,2,3,75.5,6,7,10,0,0,0
11,BRAVE WITNESS (H425),L Hewitson,C S Shum,1075,3,15,75.7,4,5,11,0,0,0
12,MIRACLES (G083),K C Leung,K L Man,1133,7,13,74.8,1,1,12,0,0,0
1,HAPPY UNITED (H208),Z Purton,J Richards,1122,4,2,61.3,2,2,1,0,0,0
2,HEROIC MASTER (G394),A Atzeni,F C Lor,1081,6,6,63.3,5,6,2,0,0,0
3,ATOMIC ENERGY (H150),Y L Chung,A S Cruz,1037,5,7,63.5,3,4,3,0,0,0
4,NICCONI COUNTY (G208),C Y Ho,C Fownes,1151,1,6,63.6,6,5,4,0,0,0
5,CALIFORNIA DEEPLY (G451),L Ferraris,A S Cruz,1095,8,13,64.4,9,8,5,0,0,0
6,FORTUNE WARRIOR (H229),K Teetan,P C Ng,1115,9,7,64.6,1,1,6,0,0,0
7,CHAIN OF GOLD (J138),L Hewitson,W K Mo,1016,3,33,65.9,8,7,7,0,0,0
8,HARMONY N BLESSED (E061),B Avdulla,D A Hayes,1216,2,7,66.5,4,3,8,0,0,0
9,BEAUTY GLORY (E459),H Bentley,A S Cruz,1172,7,27,66.8,7,9,9,0,0,0
10,ENFOLDED (H336),K C Leung,J Richards,1080,10,95,64.4,10,10,10,0,0,0
1,WIN WIN FIGHTER (E347),C Y Ho,K W Lui,1088,5,4,105.9,8,8,8,1,0,0
2,DRAGON STAR (H128),K Teetan,P C Ng,1106,9,9,106.3,2,2,2,2,0,0
3,ATOMIC BEAUTY (H066),K H Chan,A S Cruz,1209,3,5,107.2,3,3,3,3,0,0
4,SATIRICAL GLORY (H073),Z Purton,D A Hayes,1210,8,4,107.6,1,1,1,4,0,0
5,STURDY RUBY (H207),M L Yeung,K L Man,1093,4,6,109.4,7,6,7,5,0,0
6,SUPERB MOVE (G304),Y L Chung,C H Yip,1134,11,11,101.1,5,5,5,6,0,0
7,V LOVE YOU (J048),H Bentley,C S Shum,1086,7,144,101.9,4,4,4,7,0,0
8,RIGHT HONOURABLE (A164),M Chadwick,M Newnham,1035,6,24,106.2,10,10,10,8,0,0
9,INVINCIBLE MISSILE (C037),L Hewitson,C Fownes,1130,2,10,107.0,9,9,11,9,0,0
10,AROMATICA (H437),K C Leung,W Y So,1195,10,23,110.0,12,11,9,10,0,0
11,GOLDEN LINK (D222),M F Poon,P F Yiu,1073,12,36,110.1,11,12,12,11,0,0
12,DRAGON PRIDE (D164),A Hamelin,T P Yung,1117,1,21,102.6,6,7,6,12,0,0
1,HAPPY TRIO (G244),K Teetan,D J Whyte,1072,4,6,74.4,5,4,1,0,0,0
2,ERNEST FEELING (E209),A Hamelin,J Richards,1230,10,17,76.2,11,11,2,0,0,0
3,SUPER EAGLE (G408),Z Purton,W Y So,1077,5,3,76.3,6,7,3,0,0,0
4,KILINDINI (E236),L Hewitson,W K Mo,1150,2,8,78.2,3,3,4,0,0,0
5,MELBOURNE HALL (D118),Y L Chung,D J Hall,1060,3,55,78.3,7,6,5,0,0,0
6,BEAUTY INFINITY (H377),A Atzeni,J Size,1144,8,2,78.8,8,9,6,0,0,0
7,GOLDEN LUCK (H159),K C Leung,K L Man,1094,11,52,79.3,4,5,7,0,0,0
8,PODIUM (H173),K De Melo,C W Chang,1046,7,31,72.2,10,8,8,0,0,0
9,SCOTCH TYCOON (G088),L Ferraris,M Newnham,1115,1,14,73.4,2,1,9,0,0,0
10,COLONEL (D090),H T Mo,P F Yiu,1196,9,22,74.6,1,2,10,0,0,0
11,LUCKY QUALITY (D050),K H Chan,C Fownes,1107,6,26,80.2,9,10,11,0,0,0
1,M UNICORN (G466),C Y Ho,C Fownes,1197,6,2,107.7,9,9,7,1,0,0
2,QUANTUM PATCH (H166),K Teetan,P C Ng,1126,11,6,108.3,12,12,10,2,0,0
3,CALIFORNIA VOCE (H258),B Avdulla,A S Cruz,1093,4,8,109.7,8,8,9,3,0,0
4,ALL BEAUTY (E355),Y L Chung,F C Lor,1191,10,16,102.1,11,11,11,4,0,0
5,SOLID IMPACT (E447),K De Melo,D J Hall,1039,7,13,102.5,5,5,5,5,0,0
6,IVY LEAGUE (H116),L Ferraris,D J Whyte,1213,2,14,102.8,6,6,6,6,0,0
7,LUCKY EIGHT (G204),M F Poon,P F Yiu,1155,1,15,103.1,3,4,4,7,0,0
8,TOURBILLON PRINCE (H122),Z Purton,T P Yung,1166,9,7,105.2,1,1,1,8,0,0
9,SILVER SONIC (H171),H Bentley,K W Lui,1064,5,15,105.5,7,7,8,9,0,0
10,U S S CONSTITUTION (H357),A Atzeni,J Size,1013,12,32,106.6,4,2,2,10,0,0
11,STAR CONTACT (E472),L Hewitson,D A Hayes,1229,8,20,107.1,2,3,3,11,0,0
12,TRADITION (J111),A Hamelin,P C Ng,1002,3,91,102.1,10,10,12,12,0,0
1,WATCH BUDDY (H185),H Bentley,P F Yiu,1109,2,7,72.1,4,6,1,0,0,0
2,RAGING BLIZZARD (H368),K Teetan,J Size,1090,3,1,72.4,3,2,2,0,0,0
3,SUGAR SUGAR (G016),L Ferraris,C Fownes,1103,1,8,74.8,2,3,3,0,0,0
4,ARMOUR EAGLE (G093),A Atzeni,J Richards,1159,8,41,76.4,6,5,4,0,0,0
5,PRINCE OF PORTY (H009),B Avdulla,D J Hall,1162,7,22,76.7,1,1,5,0,0,0
6,TOGEPI (G458),L Hewitson,W K Mo,1057,4,19,77.1,7,7,6,0,0,0
7,GOLDEN SAMURAI (H024),C Y Ho,K W Lui,1200,5,25,78.8,9,9,7,0,0,0
8,STREET CONQUEROR (H341),M L Yeung,A S Cruz,1143,9,17,78.9,11,11,8,0,0,0
9,BEAUTY CHAMP (G137),M Chadwick,D J Whyte,1182,6,82,79.7,8,8,9,0,0,0
10,LUCKY ARCHANGEL (E385),M F Poon,F C Lor,1183,12,74,73.7,5,4,10,0,0,0
11,BON'S A PEARLA (G449),Z Purton,P C Ng,1147,10,8,77.2,10,10,11,0,0,0
12,ONLY U (J037),H T Mo,T P Yung,1120,11,154,77.8,12,12,12,0,0,0
1,TSUEN WAN GLORY (E403),M Chadwick,K L Man,1055,5,7,83.9,5,4,2,1,0,0
2,SMART BEAUTY (G477),Y L Chung,A S Cruz,1092,3,6,84.9,13,13,13,2,0,0
3,DIAMOND DIAMOND (H189),L Hewitson,T P Yung,1203,9,16,87.5,12,12,11,3,0,0
4,FIRE BALL (D087),Z Purton,C H Yip,1040,12,5,87.8,8,7,6,4,0,0
5,DRAGON DELIGHT (G395),H Bowman,D A Hayes,1121,6,4,88.7,9,8,7,5,0,0
6,COPARTNER ERA (C534),K C Leung,W Y So,1124,4,22,89.1,10,11,12,6,0,0
7,BRILLIANT PIONEER (G255),K Teetan,P F Yiu,1059,8,5,90.9,11,10,10,7,0,0
8,DASHING GLORY (G397),H T Mo,Y S Tsui,1098,2,46,92.3,6,5,4,8,0,0
9,GREAT DAYS (H119),A Hamelin,P C Ng,1097,10,20,92.5,4,6,5,9,0,0
10,DARCI LEGEND (G376),A Atzeni,K W Lui,1055,13,39,84.6,14,14,14,10,0,0
11,EAGLE RUN (G415),H Bentley,D J Whyte,1199,14,34,86.1,7,9,9,11,0,0
12,SUPER HORNET (G043),M F Poon,J Richards,1091,1,29,92.1,1,2,3,12,0,0
13,NOIR RIDER (E138),K De Melo,C W Chang,1201,7,44,92.1,2,1,1,13,0,0
14,TACTICAL COMMAND (H197),L Ferraris,M Newnham,1056,11,39,89.9,3,3,8,14,0,0
1,SECOND TO NONE (H319),C Y Ho,K W Lui,1148,5,8,71.3,5,4,1,0,0,0
2,TOP SCORER (J120),Z Purton,J Size,1232,7,2,72.9,4,5,2,0,0,0
3,MASTER MASTERMIND (J024),K Teetan,D A Hayes,1118,6,3,73.8,8,8,3,0,0,0
4,BALLISTIC WIN (J040),C L Chau,T P Yung,1216,1,13,74.1,7,7,4,0,0,0
5,JOY OF SPRING (H383),B Avdulla,C Fownes,1005,11,30,75.1,12,9,5,0,0,0
6,GLORIOUS EXPERT (J028),H Bowman,D J Hall,1108,3,18,76.5,2,2,6,0,0,0
7,KING OBERON (H407),K De Melo,K H Ting,1119,9,148,76.7,9,12,7,0,0,0
8,MR MAESTRO (J033),A Atzeni,J Richards,1179,12,26,78.1,6,6,8,0,0,0
9,CALIFORNIA ICON (H404),L Hewitson,A S Cruz,1147,10,75,78.7,11,11,9,0,0,0
10,COMMANDING MISSILE (G210),Y L Chung,C W Chang,1223,2,15,71.2,1,1,10,0,0,0
11,CRAZY TREASURE (J063),L Ferraris,M Newnham,1047,4,27,71.4,3,3,11,0,0,0
12,JOY FOR YOU (H270),M L Yeung,Y S Tsui,1161,8,135,73.1,10,10,12,0,0,0
1,RUN RUN TIMING (H403),H Bentley,C H Yip,1156,9,3,71.3,1,1,1,0,0,0
2,COPARTNER PRANCE (H408),K De Melo,K W Lui,1108,12,7,72.8,2,2,2,0,0,0
3,INVINCIBLE LUCKY (J119),M Chadwick,M Newnham,1076,3,9,74.5,9,9,3,0,0,0
4,RUBY SAILING (H347),H Bowman,K L Man,1169,10,4,74.5,6,4,4,0,0,0
5,THE GOOD DEAL (G025),Y L Chung,D J Whyte,1125,6,51,76.4,5,5,5,0,0,0
6,KING OF THE COURT (E384),L Hewitson,W Y So,1165,2,9,77.0,11,10,6,0,0,0
7,ISLAND BRIGHT (H363),L Ferraris,P F Yiu,1068,1,23,71.8,3,3,7,0,0,0
8,GUSTY FIGHTER (J029),A Atzeni,J Richards,1080,8,56,72.5,8,7,8,0,0,0
9,FUNG (J101),K C Leung,C W Chang,1137,4,60,74.8,7,8,9,0,0,0
10,FLYING ROMANTIC (J057),B Avdulla,D J Hall,1104,11,80,75.2,12,12,10,0,0,0
11,MUST GO (J133),Z Purton,J Size,1148,7,8,76.9,4,6,11,0,0,0
12,SIGHT HERO (D487),K Teetan,D A Hayes,1324,5,7,74.7,10,11,12,0,0,0
